Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,2,MuSK-MG,No,1,52
Human,2,MuSK-MG,No,2,64414
Human,2,MuSK-MG,No,3,18528
Human,2,MuSK-MG,No,4,8941
Human,2,MuSK-MG,No,5,5514
Human,2,MuSK-MG,No,6,3683
Human,2,MuSK-MG,No,7,2654
Human,2,MuSK-MG,No,8,1947
Human,2,MuSK-MG,No,9,1524
Human,2,MuSK-MG,No,10,1235
Human,2,MuSK-MG,No,>10,9031
Human,2,MuSK-MG,Yes,1,1
Human,2,MuSK-MG,Yes,2,1127
Human,2,MuSK-MG,Yes,3,570
Human,2,MuSK-MG,Yes,4,403
Human,2,MuSK-MG,Yes,5,277
Human,2,MuSK-MG,Yes,6,226
Human,2,MuSK-MG,Yes,7,159
Human,2,MuSK-MG,Yes,8,139
Human,2,MuSK-MG,Yes,9,91
Human,2,MuSK-MG,Yes,10,84
Human,2,MuSK-MG,Yes,>10,684
Human,3,MuSK-MG,No,2,3
Human,3,MuSK-MG,No,3,19522
Human,3,MuSK-MG,No,4,12379
Human,3,MuSK-MG,No,5,8080
Human,3,MuSK-MG,No,6,5527
Human,3,MuSK-MG,No,7,4031
Human,3,MuSK-MG,No,8,3102
Human,3,MuSK-MG,No,9,2524
Human,3,MuSK-MG,No,10,2080
Human,3,MuSK-MG,No,>10,14942
Human,3,MuSK-MG,Yes,2,1
Human,3,MuSK-MG,Yes,3,335
Human,3,MuSK-MG,Yes,4,288
Human,3,MuSK-MG,Yes,5,228
Human,3,MuSK-MG,Yes,6,153
Human,3,MuSK-MG,Yes,7,136
Human,3,MuSK-MG,Yes,8,144
Human,3,MuSK-MG,Yes,9,85
Human,3,MuSK-MG,Yes,10,82
Human,3,MuSK-MG,Yes,>10,724
Human,4,MuSK-MG,No,4,6044
Human,4,MuSK-MG,No,5,6256
Human,4,MuSK-MG,No,6,5416
Human,4,MuSK-MG,No,7,4346
Human,4,MuSK-MG,No,8,3666
Human,4,MuSK-MG,No,9,2972
Human,4,MuSK-MG,No,10,2551
Human,4,MuSK-MG,No,>10,23844
Human,4,MuSK-MG,Yes,4,120
Human,4,MuSK-MG,Yes,5,138
Human,4,MuSK-MG,Yes,6,116
Human,4,MuSK-MG,Yes,7,108
Human,4,MuSK-MG,Yes,8,87
Human,4,MuSK-MG,Yes,9,89
Human,4,MuSK-MG,Yes,10,85
Human,4,MuSK-MG,Yes,>10,912
Human,5,MuSK-MG,No,4,1
Human,5,MuSK-MG,No,5,1776
Human,5,MuSK-MG,No,6,2668
Human,5,MuSK-MG,No,7,2885
Human,5,MuSK-MG,No,8,2746
Human,5,MuSK-MG,No,9,2697
Human,5,MuSK-MG,No,10,2439
Human,5,MuSK-MG,No,>10,30602
Human,5,MuSK-MG,Yes,5,39
Human,5,MuSK-MG,Yes,6,53
Human,5,MuSK-MG,Yes,7,48
Human,5,MuSK-MG,Yes,8,62
Human,5,MuSK-MG,Yes,9,84
Human,5,MuSK-MG,Yes,10,66
Human,5,MuSK-MG,Yes,>10,1043
Human,6,MuSK-MG,No,6,505
Human,6,MuSK-MG,No,7,891
Human,6,MuSK-MG,No,8,1241
Human,6,MuSK-MG,No,9,1411
Human,6,MuSK-MG,No,10,1522
Human,6,MuSK-MG,No,>10,34387
Human,6,MuSK-MG,Yes,6,8
Human,6,MuSK-MG,Yes,7,5
Human,6,MuSK-MG,Yes,8,23
Human,6,MuSK-MG,Yes,9,26
Human,6,MuSK-MG,Yes,10,36
Human,6,MuSK-MG,Yes,>10,1168
Human,7,MuSK-MG,No,7,120
Human,7,MuSK-MG,No,8,295
Human,7,MuSK-MG,No,9,488
Human,7,MuSK-MG,No,10,591
Human,7,MuSK-MG,No,>10,34769
Human,7,MuSK-MG,Yes,7,1
Human,7,MuSK-MG,Yes,8,5
Human,7,MuSK-MG,Yes,9,6
Human,7,MuSK-MG,Yes,10,13
Human,7,MuSK-MG,Yes,>10,1069
Human,8,MuSK-MG,No,8,22
Human,8,MuSK-MG,No,9,85
Human,8,MuSK-MG,No,10,128
Human,8,MuSK-MG,No,>10,32729
Human,8,MuSK-MG,Yes,9,1
Human,8,MuSK-MG,Yes,10,3
Human,8,MuSK-MG,Yes,>10,1005
Human,9,MuSK-MG,No,9,6
Human,9,MuSK-MG,No,10,16
Human,9,MuSK-MG,No,>10,30495
Human,9,MuSK-MG,Yes,>10,914
Human,10,MuSK-MG,No,10,1
Human,10,MuSK-MG,No,>10,27697
Human,10,MuSK-MG,Yes,>10,893
Human,11,MuSK-MG,No,>10,26077
Human,11,MuSK-MG,Yes,>10,840
Human,12,MuSK-MG,No,>10,24329
Human,12,MuSK-MG,Yes,>10,783
Human,13,MuSK-MG,No,>10,21905
Human,13,MuSK-MG,Yes,>10,806
Human,14,MuSK-MG,No,>10,20576
Human,14,MuSK-MG,Yes,>10,817
Human,15,MuSK-MG,No,>10,17993
Human,15,MuSK-MG,Yes,>10,865
Human,16,MuSK-MG,No,>10,16175
Human,16,MuSK-MG,Yes,>10,924
Human,17,MuSK-MG,No,>10,14267
Human,17,MuSK-MG,Yes,>10,848
Human,18,MuSK-MG,No,>10,11524
Human,18,MuSK-MG,Yes,>10,690
Human,19,MuSK-MG,No,>10,9848
Human,19,MuSK-MG,Yes,>10,681
Human,20,MuSK-MG,No,>10,7450
Human,20,MuSK-MG,Yes,>10,692
Human,21,MuSK-MG,No,>10,3448
Human,21,MuSK-MG,Yes,>10,421
Human,22,MuSK-MG,No,>10,1251
Human,22,MuSK-MG,Yes,>10,215
Human,23,MuSK-MG,No,>10,329
Human,23,MuSK-MG,Yes,>10,90
Human,24,MuSK-MG,No,>10,46
Human,24,MuSK-MG,Yes,>10,20
Human,1,Non-Dengue-Febrile-Illness,No,1,11129
Human,1,Non-Dengue-Febrile-Illness,No,2,2338
Human,1,Non-Dengue-Febrile-Illness,No,3,566
Human,1,Non-Dengue-Febrile-Illness,No,4,128
Human,1,Non-Dengue-Febrile-Illness,No,5,23
Human,1,Non-Dengue-Febrile-Illness,No,6,7
Human,1,Non-Dengue-Febrile-Illness,No,7,3
Human,1,Non-Dengue-Febrile-Illness,No,8,2
Human,1,Non-Dengue-Febrile-Illness,Yes,1,706
Human,1,Non-Dengue-Febrile-Illness,Yes,2,204
Human,1,Non-Dengue-Febrile-Illness,Yes,3,58
Human,1,Non-Dengue-Febrile-Illness,Yes,4,16
Human,1,Non-Dengue-Febrile-Illness,Yes,5,3
Human,1,Non-Dengue-Febrile-Illness,Yes,6,1
Human,1,Non-Dengue-Febrile-Illness,Yes,7,1
Human,2,Non-Dengue-Febrile-Illness,No,1,18
Human,2,Non-Dengue-Febrile-Illness,No,2,536
Human,2,Non-Dengue-Febrile-Illness,No,3,273
Human,2,Non-Dengue-Febrile-Illness,No,4,154
Human,2,Non-Dengue-Febrile-Illness,No,5,85
Human,2,Non-Dengue-Febrile-Illness,No,6,60
Human,2,Non-Dengue-Febrile-Illness,No,7,49
Human,2,Non-Dengue-Febrile-Illness,No,8,31
Human,2,Non-Dengue-Febrile-Illness,No,9,23
Human,2,Non-Dengue-Febrile-Illness,No,10,13
Human,2,Non-Dengue-Febrile-Illness,No,>10,103
Human,2,Non-Dengue-Febrile-Illness,Yes,1,2
Human,2,Non-Dengue-Febrile-Illness,Yes,2,62
Human,2,Non-Dengue-Febrile-Illness,Yes,3,26
Human,2,Non-Dengue-Febrile-Illness,Yes,4,22
Human,2,Non-Dengue-Febrile-Illness,Yes,5,16
Human,2,Non-Dengue-Febrile-Illness,Yes,6,5
Human,2,Non-Dengue-Febrile-Illness,Yes,7,4
Human,2,Non-Dengue-Febrile-Illness,Yes,8,3
Human,2,Non-Dengue-Febrile-Illness,Yes,>10,5
Human,3,Non-Dengue-Febrile-Illness,No,3,112
Human,3,Non-Dengue-Febrile-Illness,No,4,95
Human,3,Non-Dengue-Febrile-Illness,No,5,74
Human,3,Non-Dengue-Febrile-Illness,No,6,76
Human,3,Non-Dengue-Febrile-Illness,No,7,46
Human,3,Non-Dengue-Febrile-Illness,No,8,40
Human,3,Non-Dengue-Febrile-Illness,No,9,23
Human,3,Non-Dengue-Febrile-Illness,No,10,23
Human,3,Non-Dengue-Febrile-Illness,No,>10,168
Human,3,Non-Dengue-Febrile-Illness,Yes,3,12
Human,3,Non-Dengue-Febrile-Illness,Yes,4,19
Human,3,Non-Dengue-Febrile-Illness,Yes,5,10
Human,3,Non-Dengue-Febrile-Illness,Yes,6,9
Human,3,Non-Dengue-Febrile-Illness,Yes,7,4
Human,3,Non-Dengue-Febrile-Illness,Yes,8,5
Human,3,Non-Dengue-Febrile-Illness,Yes,9,2
Human,3,Non-Dengue-Febrile-Illness,Yes,10,4
Human,3,Non-Dengue-Febrile-Illness,Yes,>10,21
Human,4,Non-Dengue-Febrile-Illness,No,4,39
Human,4,Non-Dengue-Febrile-Illness,No,5,64
Human,4,Non-Dengue-Febrile-Illness,No,6,44
Human,4,Non-Dengue-Febrile-Illness,No,7,37
Human,4,Non-Dengue-Febrile-Illness,No,8,33
Human,4,Non-Dengue-Febrile-Illness,No,9,22
Human,4,Non-Dengue-Febrile-Illness,No,10,25
Human,4,Non-Dengue-Febrile-Illness,No,>10,282
Human,4,Non-Dengue-Febrile-Illness,Yes,4,2
Human,4,Non-Dengue-Febrile-Illness,Yes,5,4
Human,4,Non-Dengue-Febrile-Illness,Yes,6,3
Human,4,Non-Dengue-Febrile-Illness,Yes,7,7
Human,4,Non-Dengue-Febrile-Illness,Yes,8,3
Human,4,Non-Dengue-Febrile-Illness,Yes,9,4
Human,4,Non-Dengue-Febrile-Illness,Yes,10,1
Human,4,Non-Dengue-Febrile-Illness,Yes,>10,32
Human,5,Non-Dengue-Febrile-Illness,No,5,7
Human,5,Non-Dengue-Febrile-Illness,No,6,15
Human,5,Non-Dengue-Febrile-Illness,No,7,18
Human,5,Non-Dengue-Febrile-Illness,No,8,18
Human,5,Non-Dengue-Febrile-Illness,No,9,12
Human,5,Non-Dengue-Febrile-Illness,No,10,18
Human,5,Non-Dengue-Febrile-Illness,No,>10,347
Human,5,Non-Dengue-Febrile-Illness,Yes,5,2
Human,5,Non-Dengue-Febrile-Illness,Yes,6,2
Human,5,Non-Dengue-Febrile-Illness,Yes,7,5
Human,5,Non-Dengue-Febrile-Illness,Yes,9,4
Human,5,Non-Dengue-Febrile-Illness,Yes,10,1
Human,5,Non-Dengue-Febrile-Illness,Yes,>10,44
Human,6,Non-Dengue-Febrile-Illness,No,6,1
Human,6,Non-Dengue-Febrile-Illness,No,7,3
Human,6,Non-Dengue-Febrile-Illness,No,8,9
Human,6,Non-Dengue-Febrile-Illness,No,9,12
Human,6,Non-Dengue-Febrile-Illness,No,10,7
Human,6,Non-Dengue-Febrile-Illness,No,>10,363
Human,6,Non-Dengue-Febrile-Illness,Yes,8,1
Human,6,Non-Dengue-Febrile-Illness,Yes,9,1
Human,6,Non-Dengue-Febrile-Illness,Yes,>10,48
Human,7,Non-Dengue-Febrile-Illness,No,8,1
Human,7,Non-Dengue-Febrile-Illness,No,9,2
Human,7,Non-Dengue-Febrile-Illness,No,10,1
Human,7,Non-Dengue-Febrile-Illness,No,>10,344
Human,7,Non-Dengue-Febrile-Illness,Yes,9,1
Human,7,Non-Dengue-Febrile-Illness,Yes,>10,51
Human,8,Non-Dengue-Febrile-Illness,No,10,1
Human,8,Non-Dengue-Febrile-Illness,No,>10,378
Human,8,Non-Dengue-Febrile-Illness,Yes,>10,32
Human,9,Non-Dengue-Febrile-Illness,No,>10,382
Human,9,Non-Dengue-Febrile-Illness,Yes,>10,36
Human,10,Non-Dengue-Febrile-Illness,No,>10,310
Human,10,Non-Dengue-Febrile-Illness,Yes,>10,32
Human,11,Non-Dengue-Febrile-Illness,No,>10,280
Human,11,Non-Dengue-Febrile-Illness,Yes,>10,21
Human,12,Non-Dengue-Febrile-Illness,No,>10,267
Human,12,Non-Dengue-Febrile-Illness,Yes,>10,16
Human,13,Non-Dengue-Febrile-Illness,No,>10,265
Human,13,Non-Dengue-Febrile-Illness,Yes,>10,12
Human,14,Non-Dengue-Febrile-Illness,No,>10,276
Human,14,Non-Dengue-Febrile-Illness,Yes,>10,29
Human,15,Non-Dengue-Febrile-Illness,No,>10,291
Human,15,Non-Dengue-Febrile-Illness,Yes,>10,16
Human,16,Non-Dengue-Febrile-Illness,No,>10,307
Human,16,Non-Dengue-Febrile-Illness,Yes,>10,23
Human,17,Non-Dengue-Febrile-Illness,No,>10,315
Human,17,Non-Dengue-Febrile-Illness,Yes,>10,23
Human,18,Non-Dengue-Febrile-Illness,No,>10,391
Human,18,Non-Dengue-Febrile-Illness,Yes,>10,25
Human,19,Non-Dengue-Febrile-Illness,No,>10,474
Human,19,Non-Dengue-Febrile-Illness,Yes,>10,18
Human,20,Non-Dengue-Febrile-Illness,No,>10,637
Human,20,Non-Dengue-Febrile-Illness,Yes,>10,65
Human,21,Non-Dengue-Febrile-Illness,No,>10,747
Human,21,Non-Dengue-Febrile-Illness,Yes,>10,82
Human,22,Non-Dengue-Febrile-Illness,No,>10,410
Human,22,Non-Dengue-Febrile-Illness,Yes,>10,72
Human,23,Non-Dengue-Febrile-Illness,No,>10,178
Human,23,Non-Dengue-Febrile-Illness,Yes,>10,50
Human,24,Non-Dengue-Febrile-Illness,No,>10,46
Human,24,Non-Dengue-Febrile-Illness,Yes,>10,20
Human,1,Obstructive-Sleep-Apnea,No,1,5144799
Human,1,Obstructive-Sleep-Apnea,No,2,389350
Human,1,Obstructive-Sleep-Apnea,No,3,170176
Human,1,Obstructive-Sleep-Apnea,No,4,105039
Human,1,Obstructive-Sleep-Apnea,No,5,72704
Human,1,Obstructive-Sleep-Apnea,No,6,54484
Human,1,Obstructive-Sleep-Apnea,No,7,42093
Human,1,Obstructive-Sleep-Apnea,No,8,33616
Human,1,Obstructive-Sleep-Apnea,No,9,27730
Human,1,Obstructive-Sleep-Apnea,No,10,22780
Human,1,Obstructive-Sleep-Apnea,No,>10,156011
Human,1,Obstructive-Sleep-Apnea,Yes,1,97099
Human,1,Obstructive-Sleep-Apnea,Yes,2,13862
Human,1,Obstructive-Sleep-Apnea,Yes,3,7248
Human,1,Obstructive-Sleep-Apnea,Yes,4,4788
Human,1,Obstructive-Sleep-Apnea,Yes,5,3359
Human,1,Obstructive-Sleep-Apnea,Yes,6,2618
Human,1,Obstructive-Sleep-Apnea,Yes,7,2102
Human,1,Obstructive-Sleep-Apnea,Yes,8,1726
Human,1,Obstructive-Sleep-Apnea,Yes,9,1473
Human,1,Obstructive-Sleep-Apnea,Yes,10,1263
Human,1,Obstructive-Sleep-Apnea,Yes,>10,10545
Human,2,Obstructive-Sleep-Apnea,No,1,688
Human,2,Obstructive-Sleep-Apnea,No,2,298159
Human,2,Obstructive-Sleep-Apnea,No,3,95540
Human,2,Obstructive-Sleep-Apnea,No,4,45159
Human,2,Obstructive-Sleep-Apnea,No,5,26867
Human,2,Obstructive-Sleep-Apnea,No,6,18105
Human,2,Obstructive-Sleep-Apnea,No,7,13344
Human,2,Obstructive-Sleep-Apnea,No,8,10150
Human,2,Obstructive-Sleep-Apnea,No,9,8077
Human,2,Obstructive-Sleep-Apnea,No,10,6730
Human,2,Obstructive-Sleep-Apnea,No,>10,62366
Human,2,Obstructive-Sleep-Apnea,Yes,1,14
Human,2,Obstructive-Sleep-Apnea,Yes,2,5395
Human,2,Obstructive-Sleep-Apnea,Yes,3,2345
Human,2,Obstructive-Sleep-Apnea,Yes,4,1537
Human,2,Obstructive-Sleep-Apnea,Yes,5,1047
Human,2,Obstructive-Sleep-Apnea,Yes,6,855
Human,2,Obstructive-Sleep-Apnea,Yes,7,551
Human,2,Obstructive-Sleep-Apnea,Yes,8,464
Human,2,Obstructive-Sleep-Apnea,Yes,9,355
Human,2,Obstructive-Sleep-Apnea,Yes,10,376
Human,2,Obstructive-Sleep-Apnea,Yes,>10,3612
Human,3,Obstructive-Sleep-Apnea,No,1,8
Human,3,Obstructive-Sleep-Apnea,No,2,63
Human,3,Obstructive-Sleep-Apnea,No,3,89861
Human,3,Obstructive-Sleep-Apnea,No,4,59245
Human,3,Obstructive-Sleep-Apnea,No,5,37772
Human,3,Obstructive-Sleep-Apnea,No,6,26371
Human,3,Obstructive-Sleep-Apnea,No,7,18544
Human,3,Obstructive-Sleep-Apnea,No,8,14013
Human,3,Obstructive-Sleep-Apnea,No,9,11293
Human,3,Obstructive-Sleep-Apnea,No,10,8732
Human,3,Obstructive-Sleep-Apnea,No,>10,72543
Human,3,Obstructive-Sleep-Apnea,Yes,2,1
Human,3,Obstructive-Sleep-Apnea,Yes,3,1411
Human,3,Obstructive-Sleep-Apnea,Yes,4,1094
Human,3,Obstructive-Sleep-Apnea,Yes,5,868
Human,3,Obstructive-Sleep-Apnea,Yes,6,745
Human,3,Obstructive-Sleep-Apnea,Yes,7,597
Human,3,Obstructive-Sleep-Apnea,Yes,8,463
Human,3,Obstructive-Sleep-Apnea,Yes,9,393
Human,3,Obstructive-Sleep-Apnea,Yes,10,343
Human,3,Obstructive-Sleep-Apnea,Yes,>10,3293
Human,4,Obstructive-Sleep-Apnea,No,3,7
Human,4,Obstructive-Sleep-Apnea,No,4,28542
Human,4,Obstructive-Sleep-Apnea,No,5,29767
Human,4,Obstructive-Sleep-Apnea,No,6,25466
Human,4,Obstructive-Sleep-Apnea,No,7,20905
Human,4,Obstructive-Sleep-Apnea,No,8,17035
Human,4,Obstructive-Sleep-Apnea,No,9,13644
Human,4,Obstructive-Sleep-Apnea,No,10,11474
Human,4,Obstructive-Sleep-Apnea,No,>10,98057
Human,4,Obstructive-Sleep-Apnea,Yes,4,342
Human,4,Obstructive-Sleep-Apnea,Yes,5,442
Human,4,Obstructive-Sleep-Apnea,Yes,6,454
Human,4,Obstructive-Sleep-Apnea,Yes,7,450
Human,4,Obstructive-Sleep-Apnea,Yes,8,368
Human,4,Obstructive-Sleep-Apnea,Yes,9,353
Human,4,Obstructive-Sleep-Apnea,Yes,10,343
Human,4,Obstructive-Sleep-Apnea,Yes,>10,3949
Human,5,Obstructive-Sleep-Apnea,No,4,1
Human,5,Obstructive-Sleep-Apnea,No,5,8318
Human,5,Obstructive-Sleep-Apnea,No,6,12632
Human,5,Obstructive-Sleep-Apnea,No,7,13670
Human,5,Obstructive-Sleep-Apnea,No,8,13392
Human,5,Obstructive-Sleep-Apnea,No,9,12482
Human,5,Obstructive-Sleep-Apnea,No,10,11243
Human,5,Obstructive-Sleep-Apnea,No,>10,126757
Human,5,Obstructive-Sleep-Apnea,Yes,5,92
Human,5,Obstructive-Sleep-Apnea,Yes,6,171
Human,5,Obstructive-Sleep-Apnea,Yes,7,211
Human,5,Obstructive-Sleep-Apnea,Yes,8,222
Human,5,Obstructive-Sleep-Apnea,Yes,9,195
Human,5,Obstructive-Sleep-Apnea,Yes,10,227
Human,5,Obstructive-Sleep-Apnea,Yes,>10,4304
Human,6,Obstructive-Sleep-Apnea,No,5,1
Human,6,Obstructive-Sleep-Apnea,No,6,2193
Human,6,Obstructive-Sleep-Apnea,No,7,4182
Human,6,Obstructive-Sleep-Apnea,No,8,5817
Human,6,Obstructive-Sleep-Apnea,No,9,6813
Human,6,Obstructive-Sleep-Apnea,No,10,6895
Human,6,Obstructive-Sleep-Apnea,No,>10,142626
Human,6,Obstructive-Sleep-Apnea,Yes,6,31
Human,6,Obstructive-Sleep-Apnea,Yes,7,58
Human,6,Obstructive-Sleep-Apnea,Yes,8,74
Human,6,Obstructive-Sleep-Apnea,Yes,9,110
Human,6,Obstructive-Sleep-Apnea,Yes,10,116
Human,6,Obstructive-Sleep-Apnea,Yes,>10,4372
Human,7,Obstructive-Sleep-Apnea,No,7,413
Human,7,Obstructive-Sleep-Apnea,No,8,1263
Human,7,Obstructive-Sleep-Apnea,No,9,1922
Human,7,Obstructive-Sleep-Apnea,No,10,2582
Human,7,Obstructive-Sleep-Apnea,No,>10,140765
Human,7,Obstructive-Sleep-Apnea,Yes,7,4
Human,7,Obstructive-Sleep-Apnea,Yes,8,13
Human,7,Obstructive-Sleep-Apnea,Yes,9,29
Human,7,Obstructive-Sleep-Apnea,Yes,10,33
Human,7,Obstructive-Sleep-Apnea,Yes,>10,4103
Human,8,Obstructive-Sleep-Apnea,No,8,95
Human,8,Obstructive-Sleep-Apnea,No,9,254
Human,8,Obstructive-Sleep-Apnea,No,10,514
Human,8,Obstructive-Sleep-Apnea,No,>10,129179
Human,8,Obstructive-Sleep-Apnea,Yes,8,1
Human,8,Obstructive-Sleep-Apnea,Yes,9,4
Human,8,Obstructive-Sleep-Apnea,Yes,10,5
Human,8,Obstructive-Sleep-Apnea,Yes,>10,3542
Human,9,Obstructive-Sleep-Apnea,No,9,12
Human,9,Obstructive-Sleep-Apnea,No,10,63
Human,9,Obstructive-Sleep-Apnea,No,>10,113541
Human,9,Obstructive-Sleep-Apnea,Yes,>10,3258
Human,10,Obstructive-Sleep-Apnea,No,10,5
Human,10,Obstructive-Sleep-Apnea,No,>10,99060
Human,10,Obstructive-Sleep-Apnea,Yes,>10,2826
Human,11,Obstructive-Sleep-Apnea,No,>10,85060
Human,11,Obstructive-Sleep-Apnea,Yes,>10,2506
Human,12,Obstructive-Sleep-Apnea,No,>10,69783
Human,12,Obstructive-Sleep-Apnea,Yes,>10,2195
Human,13,Obstructive-Sleep-Apnea,No,>10,55003
Human,13,Obstructive-Sleep-Apnea,Yes,>10,1981
Human,14,Obstructive-Sleep-Apnea,No,>10,42910
Human,14,Obstructive-Sleep-Apnea,Yes,>10,1652
Human,15,Obstructive-Sleep-Apnea,No,>10,33246
Human,15,Obstructive-Sleep-Apnea,Yes,>10,1466
Human,16,Obstructive-Sleep-Apnea,No,>10,25713
Human,16,Obstructive-Sleep-Apnea,Yes,>10,1346
Human,17,Obstructive-Sleep-Apnea,No,>10,19910
Human,17,Obstructive-Sleep-Apnea,Yes,>10,1154
Human,18,Obstructive-Sleep-Apnea,No,>10,14632
Human,18,Obstructive-Sleep-Apnea,Yes,>10,837
Human,19,Obstructive-Sleep-Apnea,No,>10,11177
Human,19,Obstructive-Sleep-Apnea,Yes,>10,757
Human,20,Obstructive-Sleep-Apnea,No,>10,7816
Human,20,Obstructive-Sleep-Apnea,Yes,>10,717
Human,21,Obstructive-Sleep-Apnea,No,>10,3533
Human,21,Obstructive-Sleep-Apnea,Yes,>10,426
Human,22,Obstructive-Sleep-Apnea,No,>10,1262
Human,22,Obstructive-Sleep-Apnea,Yes,>10,218
Human,23,Obstructive-Sleep-Apnea,No,>10,329
Human,23,Obstructive-Sleep-Apnea,Yes,>10,90
Human,24,Obstructive-Sleep-Apnea,No,>10,46
Human,24,Obstructive-Sleep-Apnea,Yes,>10,20
Human,1,SARS-COV-2,No,1,87210480
Human,1,SARS-COV-2,No,2,12853897
Human,1,SARS-COV-2,No,3,4007416
Human,1,SARS-COV-2,No,4,2014805
Human,1,SARS-COV-2,No,5,1128171
Human,1,SARS-COV-2,No,6,743255
Human,1,SARS-COV-2,No,7,516901
Human,1,SARS-COV-2,No,8,386667
Human,1,SARS-COV-2,No,9,298384
Human,1,SARS-COV-2,No,10,242627
Human,1,SARS-COV-2,No,>10,2203786
Human,1,SARS-COV-2,Yes,1,5238689
Human,1,SARS-COV-2,Yes,2,847035
Human,1,SARS-COV-2,Yes,3,336797
Human,1,SARS-COV-2,Yes,4,150953
Human,1,SARS-COV-2,Yes,5,85205
Human,1,SARS-COV-2,Yes,6,56118
Human,1,SARS-COV-2,Yes,7,37332
Human,1,SARS-COV-2,Yes,8,27134
Human,1,SARS-COV-2,Yes,9,20581
Human,1,SARS-COV-2,Yes,10,16473
Human,1,SARS-COV-2,Yes,>10,152257
Human,2,SARS-COV-2,No,1,1576
Human,2,SARS-COV-2,No,2,2075559
Human,2,SARS-COV-2,No,3,1055953
Human,2,SARS-COV-2,No,4,586506
Human,2,SARS-COV-2,No,5,370514
Human,2,SARS-COV-2,No,6,248807
Human,2,SARS-COV-2,No,7,176641
Human,2,SARS-COV-2,No,8,131732
Human,2,SARS-COV-2,No,9,101655
Human,2,SARS-COV-2,No,10,80049
Human,2,SARS-COV-2,No,>10,650329
Human,2,SARS-COV-2,Yes,2,93543
Human,2,SARS-COV-2,Yes,3,57028
Human,2,SARS-COV-2,Yes,4,39434
Human,2,SARS-COV-2,Yes,5,26860
Human,2,SARS-COV-2,Yes,6,19113
Human,2,SARS-COV-2,Yes,7,13927
Human,2,SARS-COV-2,Yes,8,10509
Human,2,SARS-COV-2,Yes,9,8316
Human,2,SARS-COV-2,Yes,10,6430
Human,2,SARS-COV-2,Yes,>10,52658
Human,3,SARS-COV-2,No,1,5
Human,3,SARS-COV-2,No,2,327
Human,3,SARS-COV-2,No,3,411534
Human,3,SARS-COV-2,No,4,354015
Human,3,SARS-COV-2,No,5,268187
Human,3,SARS-COV-2,No,6,203379
Human,3,SARS-COV-2,No,7,155941
Human,3,SARS-COV-2,No,8,123610
Human,3,SARS-COV-2,No,9,98377
Human,3,SARS-COV-2,No,10,79496
Human,3,SARS-COV-2,No,>10,674170
Human,3,SARS-COV-2,Yes,3,15105
Human,3,SARS-COV-2,Yes,4,14999
Human,3,SARS-COV-2,Yes,5,13202
Human,3,SARS-COV-2,Yes,6,11308
Human,3,SARS-COV-2,Yes,7,9240
Human,3,SARS-COV-2,Yes,8,7682
Human,3,SARS-COV-2,Yes,9,6509
Human,3,SARS-COV-2,Yes,10,5263
Human,3,SARS-COV-2,Yes,>10,47865
Human,4,SARS-COV-2,No,2,4
Human,4,SARS-COV-2,No,3,68
Human,4,SARS-COV-2,No,4,93874
Human,4,SARS-COV-2,No,5,116954
Human,4,SARS-COV-2,No,6,113150
Human,4,SARS-COV-2,No,7,100376
Human,4,SARS-COV-2,No,8,87956
Human,4,SARS-COV-2,No,9,76447
Human,4,SARS-COV-2,No,10,65804
Human,4,SARS-COV-2,No,>10,683143
Human,4,SARS-COV-2,Yes,4,2890
Human,4,SARS-COV-2,Yes,5,4056
Human,4,SARS-COV-2,Yes,6,4336
Human,4,SARS-COV-2,Yes,7,4371
Human,4,SARS-COV-2,Yes,8,4061
Human,4,SARS-COV-2,Yes,9,3726
Human,4,SARS-COV-2,Yes,10,3402
Human,4,SARS-COV-2,Yes,>10,41900
Human,5,SARS-COV-2,No,4,5
Human,5,SARS-COV-2,No,5,21091
Human,5,SARS-COV-2,No,6,35480
Human,5,SARS-COV-2,No,7,42193
Human,5,SARS-COV-2,No,8,44008
Human,5,SARS-COV-2,No,9,43078
Human,5,SARS-COV-2,No,10,40751
Human,5,SARS-COV-2,No,>10,612137
Human,5,SARS-COV-2,Yes,5,533
Human,5,SARS-COV-2,Yes,6,1024
Human,5,SARS-COV-2,Yes,7,1304
Human,5,SARS-COV-2,Yes,8,1412
Human,5,SARS-COV-2,Yes,9,1563
Human,5,SARS-COV-2,Yes,10,1538
Human,5,SARS-COV-2,Yes,>10,33084
Human,6,SARS-COV-2,No,5,3
Human,6,SARS-COV-2,No,6,4427
Human,6,SARS-COV-2,No,7,9345
Human,6,SARS-COV-2,No,8,13414
Human,6,SARS-COV-2,No,9,16378
Human,6,SARS-COV-2,No,10,17663
Human,6,SARS-COV-2,No,>10,490307
Human,6,SARS-COV-2,Yes,6,108
Human,6,SARS-COV-2,Yes,7,214
Human,6,SARS-COV-2,Yes,8,333
Human,6,SARS-COV-2,Yes,9,416
Human,6,SARS-COV-2,Yes,10,506
Human,6,SARS-COV-2,Yes,>10,23616
Human,7,SARS-COV-2,No,7,798
Human,7,SARS-COV-2,No,8,2262
Human,7,SARS-COV-2,No,9,3685
Human,7,SARS-COV-2,No,10,5130
Human,7,SARS-COV-2,No,>10,366872
Human,7,SARS-COV-2,Yes,7,13
